Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Species,LFQ intensity UPS1_01,LFQ intensity UPS1_02,LFQ intensity UPS1_03,LFQ intensity UPS1_04,LFQ intensity UPS2_01,LFQ intensity UPS2_02,LFQ intensity UPS2_03,LFQ intensity UPS2_04
A5A614,A5A614,UPF0509 protein yciZ,yciZ,>sp|A5A614|YCIZ_ECOLI UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1,ECOLI,NA,25.171065570584595,24.52339377488882,25.47565555084547,24.813784425823293,24.76513569715736,25.77830674045211,25.760182450492728
P03023;B8LFD5,P03023;B8LFD5,Lactose operon repressor,lacI,>sp|P03023|LACI_ECOLI Lactose operon repressor OS=Escherichia coli (strain K12) GN=lacI PE=1 SV=3;>tr|B8LFD5|B8LFD5_ECOLI Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1,ECOLI,27.419057132343124,27.053566671172028,26.954733086496766,27.052669982689178,26.91025304416648,26.9730259239295,27.209223278892974,26.91266007038218
P00722;B8LFD6,P00722;B8LFD6,Beta-galactosidase;Beta-galactosidase 2,lacZ;lacZ2,>sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) GN=lacZ PE=1 SV=2;>tr|B8LFD6|B8LFD6_ECOLI Beta-galactosidase 2 OS=Escherichia coli (strain K12) GN=lacZ2 PE=3 SV=1,ECOLI,28.786550846434505,28.612577060018282,28.501293482300653,28.70672649986349,28.619269557034272,28.486696514875717,28.54208516575228,28.582587305168826
B8YM76;P00634,B8YM76;P00634,Alkaline phosphatase,phoA,>tr|B8YM76|B8YM76_ECOLI Alkaline phosphatase (Fragment) OS=Escherichia coli (strain K12) PE=3 SV=1;>sp|P00634|PPB_ECOLI Alkaline phosphatase OS=Escherichia coli (strain K12) GN=phoA PE=1 SV=1,ECOLI,28.725075502661998,28.959530055278474,29.019140612747627,28.939061685623678,29.054669663893527,28.977939182308237,28.922145407442077,29.012580380557132
P75797;D9IX93,P75797;D9IX93,Glutathione-binding protein gsiB,gsiB,>sp|P75797|GSIB_ECOLI Glutathione-binding protein gsiB OS=Escherichia coli (strain K12) GN=gsiB PE=1 SV=1;>tr|D9IX93|D9IX93_ECOLI GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,ECOLI,28.861328144193475,29.177420528076453,28.91106823533705,29.135890085653187,29.23576658989808,28.918669628924132,29.25537952739995,29.14282146601719
O76070ups,O76070ups,NA,NA,>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),UPS,33.77819556055429,33.8440348421735,33.62864093965072,33.54154509333442,28.76563781558569,30.53287122031727,26.610359961355556,26.474722107443196
P00167ups,P00167ups,NA,NA,">P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)",UPS,33.3839963578112,33.31999341021029,33.122660467122614,32.76292696728221,32.38320671376239,32.06574180025244,32.28242220424048,32.38537031985513
P00350,P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,">sp|P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",ECOLI,34.22102477137932,34.54580887722588,34.42961630146901,34.54696551354992,34.590432868136816,34.402560429550036,34.5719337858122,34.56835441375074
P00363,P00363,Fumarate reductase flavoprotein subunit,frdA,>sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,ECOLI,31.52269766186018,31.7740807404117,31.53951546423362,31.457279303967628,31.695868419308027,31.558243597930574,31.631967240612052,31.512290912743516
P00370,P00370,NADP-specific glutamate dehydrogenase,gdhA,>sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,ECOLI,29.883031079684,30.145760369381776,30.224393871767155,30.302246047339043,30.197522285206983,30.307368590792645,30.376336855375246,30.351476201329834
P00393,P00393,NADH dehydrogenase,ndh,>sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2,ECOLI,30.53344350248468,30.73420343883789,30.715571996235944,30.501952536045383,30.964415417867368,30.60724735810246,30.936111424527287,30.779333973710607
P00448,P00448,Superoxide dismutase [Mn],sodA,>sp|P00448|SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2,ECOLI,33.08698187172155,33.295100758124505,33.21723268648735,33.351901062242874,33.38065199883947,33.366587540819495,33.236990155085586,33.18625448679094
P00452;P00452-2,P00452;P00452-2,Ribonucleoside-diphosphate reductase 1 subunit alpha,nrdA,>sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2;>sp|P00452-2|RIR1_ECOLI Isoform Alpha of Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN,ECOLI,31.522447772418296,31.81613438861198,31.61321203713729,31.853464706606715,31.904247538005446,31.624452470326368,31.839280739946723,31.858451956605542
P00490,P00490,Maltodextrin phosphorylase,malP,>sp|P00490|PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7,ECOLI,32.0553186993519,32.06293577680691,32.06996089687297,32.109226818403855,32.146241581315195,32.09809988752697,32.016906451740574,32.17738130786307
P00509,P00509,Aspartate aminotransferase,aspC,>sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,ECOLI,33.290848746959504,33.43610682071761,33.43646450233558,33.51824901084184,33.538197868092695,33.44765417534856,33.403027671341356,33.63850389390447
