Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Species,LFQ intensity UPS1_01,LFQ intensity UPS1_02,LFQ intensity UPS1_03,LFQ intensity UPS1_04,LFQ intensity UPS2_01,LFQ intensity UPS2_02,LFQ intensity UPS2_03,LFQ intensity UPS2_04
A5A614,A5A614,UPF0509 protein yciZ,yciZ,>sp|A5A614|YCIZ_ECOLI UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1,ECOLI,25.133866804430113,25.15530187150562,24.610775982187967,25.478641612395705,24.74733254964591,24.8138457026089,25.74306078912209,25.698116332542988
P03023;B8LFD5,P03023;B8LFD5,Lactose operon repressor,lacI,>sp|P03023|LACI_ECOLI Lactose operon repressor OS=Escherichia coli (strain K12) GN=lacI PE=1 SV=3;>tr|B8LFD5|B8LFD5_ECOLI Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1,ECOLI,27.58435544307791,27.037802972093054,27.042115293795916,27.055656044239413,26.8438011679891,27.021735929381045,27.17397732756295,26.85059395243244
P00722;B8LFD6,P00722;B8LFD6,Beta-galactosidase;Beta-galactosidase 2,lacZ;lacZ2,>sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) GN=lacZ PE=1 SV=2;>tr|B8LFD6|B8LFD6_ECOLI Beta-galactosidase 2 OS=Escherichia coli (strain K12) GN=lacZ2 PE=3 SV=1,ECOLI,28.951849157169292,28.596813360939308,28.588675689599803,28.709712561413724,28.552817680856883,28.535406520327257,28.506839214422257,28.52052118721909
B8YM76;P00634,B8YM76;P00634,Alkaline phosphatase,phoA,>tr|B8YM76|B8YM76_ECOLI Alkaline phosphatase (Fragment) OS=Escherichia coli (strain K12) PE=3 SV=1;>sp|P00634|PPB_ECOLI Alkaline phosphatase OS=Escherichia coli (strain K12) GN=phoA PE=1 SV=1,ECOLI,28.890373813396785,28.943766356199504,29.106522820046777,28.94204774717391,28.988217787716138,29.02664918775978,28.88689945611206,28.950514262607392
P75797;D9IX93,P75797;D9IX93,Glutathione-binding protein gsiB,gsiB,>sp|P75797|GSIB_ECOLI Glutathione-binding protein gsiB OS=Escherichia coli (strain K12) GN=gsiB PE=1 SV=1;>tr|D9IX93|D9IX93_ECOLI GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,ECOLI,29.026626454928262,29.16165682899748,28.998450442636205,29.13887614720342,29.169314713720695,28.967379634375675,29.220133576069934,29.08075534806745
O76070ups,O76070ups,NA,NA,>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),UPS,33.94349387128907,33.828271143094526,33.716023146949865,33.544531154884645,28.69918593940831,30.581581225768815,26.575114010025537,26.41265598949345
P00167ups,P00167ups,NA,NA,">P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)",UPS,33.54929466854598,33.30422971113131,33.21004267442176,32.76591302883244,32.31675483758501,32.11445180570398,32.24717625291046,32.32330420190539
P00350,P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,">sp|P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",ECOLI,34.3863230821141,34.530045178146906,34.51699850876817,34.54995157510015,34.52398099195943,34.451270435001575,34.53668783448218,34.506288295801
P00363,P00363,Fumarate reductase flavoprotein subunit,frdA,>sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,ECOLI,31.687995972594962,31.758317041332724,31.626897671532767,31.460265365517863,31.629416543130638,31.606953603382117,31.59672128928203,31.450224794793776
P00370,P00370,NADP-specific glutamate dehydrogenase,gdhA,>sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,ECOLI,30.048329390418786,30.129996670302802,30.311776079066306,30.30523210888927,30.131070409029597,30.35607859624419,30.34109090404523,30.28941008338009
