Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Species,LFQ intensity UPS1_01,LFQ intensity UPS1_02,LFQ intensity UPS1_03,LFQ intensity UPS1_04,LFQ intensity UPS2_01,LFQ intensity UPS2_02,LFQ intensity UPS2_03,LFQ intensity UPS2_04
A5A614,A5A614,UPF0509 protein yciZ,yciZ,>sp|A5A614|YCIZ_ECOLI UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1,ECOLI,4.425269215362808,4.651431736053949,4.622100102535816,4.66975086355466,4.627449096267217,4.635395870374993,4.686282476064788,4.682526773491798
P03023;B8LFD5,P03023;B8LFD5,Lactose operon repressor,lacI,>sp|P03023|LACI_ECOLI Lactose operon repressor OS=Escherichia coli (strain K12) GN=lacI PE=1 SV=3;>tr|B8LFD5|B8LFD5_ECOLI Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1,ECOLI,4.787892871647154,4.7556418118196815,4.757938696923118,4.756478192104398,4.744901951148724,4.758181264228688,4.76431562820161,4.745863843612699
P00722;B8LFD6,P00722;B8LFD6,Beta-galactosidase;Beta-galactosidase 2,lacZ;lacZ2,>sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) GN=lacZ PE=1 SV=2;>tr|B8LFD6|B8LFD6_ECOLI Beta-galactosidase 2 OS=Escherichia coli (strain K12) GN=lacZ2 PE=3 SV=1,ECOLI,4.857598292493371,4.836587226397688,4.838131075265362,4.84216640375758,4.83404282036213,4.836700964567339,4.833390407159152,4.832969828046847
B8YM76;P00634,B8YM76;P00634,Alkaline phosphatase,phoA,>tr|B8YM76|B8YM76_ECOLI Alkaline phosphatase (Fragment) OS=Escherichia coli (strain K12) PE=3 SV=1;>sp|P00634|PPB_ECOLI Alkaline phosphatase OS=Escherichia coli (strain K12) GN=phoA PE=1 SV=1,ECOLI,4.854535951424005,4.853999835612805,4.864016279712048,4.853804963441201,4.85589915451231,4.861291728088343,4.852495655444617,4.8545727004575205
P75797;D9IX93,P75797;D9IX93,Glutathione-binding protein gsiB,gsiB,>sp|P75797|GSIB_ECOLI Glutathione-binding protein gsiB OS=Escherichia coli (strain K12) GN=gsiB PE=1 SV=1;>tr|D9IX93|D9IX93_ECOLI GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,ECOLI,4.861314517875132,4.864828684841375,4.85865236895543,4.863591916337863,4.864893298980167,4.858346935401558,4.869041330963033,4.861052698059688
O76070ups,O76070ups,NA,NA,>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),UPS,5.086781767748988,5.079147190925257,5.076006234457729,5.066892623167366,4.841427261146952,4.9364758010238905,4.73216941349268,4.722122334930446
P00167ups,P00167ups,NA,NA,">P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)",UPS,5.0699493128040585,5.056607254421847,5.054201238740063,5.032984316926595,5.012868962026569,5.006945563699698,5.011237269875114,5.013656977317339
P00350,P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,">sp|P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",ECOLI,5.105459433735452,5.108790506304585,5.1098639383823965,5.109531134608237,5.108271262349215,5.108158408950526,5.1101851275772265,5.107995114365791
P00363,P00363,Fumarate reductase flavoprotein subunit,frdA,>sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,ECOLI,4.987705367840758,4.987986328161674,4.983766416571146,4.974272112638366,4.981824406221894,4.983993683515351,4.981842102410112,4.974129136259085
P00370,P00370,NADP-specific glutamate dehydrogenase,gdhA,>sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,ECOLI,4.911154111186057,4.91199419375483,4.922522524944661,4.920262911966699,4.911741196485149,4.925812224250822,4.9233459572620175,4.919838962632806
P00393,P00393,NADH dehydrogenase,ndh,>sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2,ECOLI,4.942007754425584,4.939920359627563,4.945701443802195,4.929746915889147,4.948036754488464,4.93997568768489,4.949717620058391,4.940087959842781
P00448,P00448,Superoxide dismutase [Mn],sodA,>sp|P00448|SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2,ECOLI,5.057135671324696,5.055527766674546,5.058301906508906,5.058706871815319,5.056764065382973,5.064161785450683,5.053319548157777,5.048987855245733
P00452;P00452-2,P00452;P00452-2,Ribonucleoside-diphosphate reductase 1 subunit alpha,nrdA,>sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2;>sp|P00452-2|RIR1_ECOLI Isoform Alpha of Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN,ECOLI,4.987694005305836,4.989896872479382,4.9871226594824885,4.9923415792155446,4.991306890223806,4.987008807899749,4.991276137283193,4.989931063598248
P00490,P00490,Maltodextrin phosphorylase,malP,>sp|P00490|PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7,ECOLI,5.011722655127331,5.001058625508328,5.007751265619398,5.003887463391133,5.002241398970523,5.00839666639451,4.999310412344914,5.0043382706167465
P00509,P00509,Aspartate aminotransferase,aspC,>sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,ECOLI,5.0659430235096945,5.0616319522391064,5.067763246893821,5.065889575123976,5.063576746805983,5.067653401136263,5.0605156356692005,5.06856304863643
P00547,P00547,Homoserine kinase,thrB,>sp|P00547|KHSE_ECOLI Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2,ECOLI,4.702376349525973,4.68640924527231,4.698556245422619,4.706852898367989,4.680170686790199,4.6873266944733825,4.691067973638319,4.696239398314576
P00550,P00550,PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component,mtlA,>sp|P00550|PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1,ECOLI,4.949256104065207,4.9597645111521755,4.958100106961716,4.9672699044738495,4.96530227432322,4.954643579639751,4.96974583801404,4.962998014861542
P00561,P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase,thrA,>sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,ECOLI,4.889402037419733,4.897107598448189,4.897256120007387,4.893395164691091,4.894921509991777,4.890120540257475,4.894354863049874,4.894113577801801
P00562,P00562,Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase,metL,>sp|P00562|AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3,ECOLI,4.8315033723252885,4.7909191260967585,4.816645608134329,4.779731522936894,4.8062480085207415,4.807097804465073,4.7997175127923795,4.796550854703841
P00579,P00579,RNA polymerase sigma factor rpoD,rpoD,>sp|P00579|RPOD_ECOLI RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2,ECOLI,5.028732818335481,5.006842219607928,5.002448597286394,4.994355725780977,4.99855142422993,5.004044347953326,4.991819308752978,4.99341749736025
P00582,P00582,DNA polymerase I,polA,>sp|P00582|DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,ECOLI,4.9908571586032915,4.9878965872264995,4.989747299578439,4.988131194351998,4.988048620194161,4.990388603065123,4.9885594211407875,4.987201777128746
